pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.0626,3.3561,0.0451,straight,1.9811,5.2600,0.0626,-0.0242,0.0577
0.1008,4.8767,0.2055,combined,0.8821,4.5000,0.0186,0.0941,0.0363
0.0578,1.8427,0.0292,combined,0.2169,5.2200,0.0356,-0.0576,0.0058
0.1557,2.6334,0.0068,combined,1.7201,4.7800,0.1357,-0.1427,0.0622
0.1164,0.8629,0.2233,combined,1.4489,5.7600,0.0907,-0.0902,0.0736
0.0216,5.6347,0.0344,straight,1.9603,5.9600,0.0029,0.0177,0.0124
0.0872,1.3019,0.0244,stand,0.0000,6.3200,0.0000,nan,nan
0.0771,2.2597,0.1495,turn,0.0000,4.2000,0.0000,nan,nan
0.1169,2.5677,0.1941,turn,0.0000,5.6600,0.0000,nan,nan
0.0840,6.2251,0.0949,straight,0.5450,4.3400,0.0840,-0.0400,0.0738
0.2180,1.2254,0.0156,combined,1.2182,4.2400,0.1596,0.0538,0.2113
0.0848,5.4372,0.0126,lateral,0.6832,4.4400,0.0837,0.0038,0.0847
0.1145,2.9676,0.0324,turn,0.0000,5.8600,0.0000,nan,nan
0.2143,1.2262,0.0562,combined,0.7061,4.6200,0.1906,-0.1743,0.1246
0.0799,0.0681,0.0953,lateral,0.0251,5.7000,0.0027,-0.0793,0.0102
0.0933,2.0521,0.0259,lateral,1.2199,5.8000,0.0743,0.0647,0.0672
0.0827,1.8732,0.1398,straight,0.8692,4.7400,0.0691,-0.0735,0.0378
0.0421,0.2633,0.0051,straight,1.7981,5.4800,0.0173,-0.0040,0.0420
0.0885,3.6620,0.1939,straight,1.7357,6.0400,0.0741,-0.0635,0.0616
0.0232,2.1032,0.1153,combined,0.5773,4.5200,0.0011,0.0180,0.0146
0.1772,2.0119,0.0815,lateral,1.4825,5.5200,0.1745,-0.1240,0.1266
0.1281,1.5496,0.1790,turn,0.0000,4.0000,0.0000,nan,nan
0.1680,0.5700,0.1035,turn,0.0000,6.2800,0.0000,nan,nan
0.1525,0.8460,0.1521,combined,2.2406,6.5000,0.1460,-0.1499,0.0278
0.0170,3.4881,0.1440,straight,0.2804,5.6600,0.0142,-0.0022,0.0168
