pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.5157,3.2407,0.1657,combined,1.7046,4.9000,0.5157,-0.5069,0.0948
0.3004,3.6033,0.0243,turn,0.0000,4.1400,0.0000,nan,nan
0.3156,1.6035,0.3191,combined,1.3924,4.3000,0.3156,-0.2985,0.1025
0.1742,6.4087,0.1144,lateral,0.4608,4.1000,0.1727,-0.1209,0.1254
0.2466,0.5162,0.0425,combined,0.7627,4.6200,0.2330,-0.1548,0.1920
0.2105,12.4020,0.1998,straight,0.4153,4.5600,0.0286,0.1421,0.1553
0.3162,1.6390,0.1396,combined,1.9055,6.6600,0.3162,-0.0237,0.3153
0.2796,0.4893,0.1591,combined,1.0347,4.6600,0.2796,-0.2726,0.0622
0.5025,3.3730,0.2012,lateral,1.1589,4.5800,0.5025,-0.4994,0.0561
0.1660,7.7877,0.1703,combined,1.5873,4.9400,0.1660,-0.0978,0.1341
0.2823,1.2939,0.1716,straight,1.0920,4.0400,0.2823,-0.2755,0.0617
0.2711,11.3181,0.2840,lateral,1.2961,4.0600,0.2711,-0.1563,0.2215
0.3467,3.5641,0.1594,combined,2.3801,5.1600,0.3467,-0.3389,0.0731
0.3950,4.0165,0.2267,combined,1.4640,4.6600,0.3950,-0.3864,0.0816
0.2969,8.5391,0.0754,straight,0.3600,4.2400,0.2875,-0.2164,0.2034
0.1916,3.0212,0.0158,lateral,0.6535,5.1200,0.1044,0.1441,0.1263
0.0479,3.5648,0.1550,stand,0.0000,5.2200,0.0000,nan,nan
0.1365,0.1613,0.0639,turn,0.0000,4.9600,0.0000,nan,nan
0.0643,2.6312,0.0570,stand,0.0000,4.8400,0.0000,nan,nan
0.0681,4.3053,0.0552,stand,0.0000,4.7000,0.0000,nan,nan
0.0546,2.6892,0.0821,turn,0.0000,4.2000,0.0000,nan,nan
0.2951,2.3948,0.1136,lateral,0.6553,5.4200,0.2559,0.0710,0.2864
0.0071,2.1387,0.0581,stand,0.0000,5.1400,0.0000,nan,nan
0.1930,1.1432,0.0935,lateral,0.9163,5.5200,0.1833,-0.1596,0.1085
0.0655,0.8269,0.1220,lateral,0.1067,4.7800,0.0085,-0.0612,0.0233
0.2438,6.2203,0.1197,combined,1.0661,5.5000,0.2438,-0.2438,0.0015
0.2457,1.5342,0.1026,straight,0.6510,6.0200,0.1589,0.1589,0.1874
0.4032,3.3291,0.1093,straight,0.8496,5.6600,0.3873,-0.3125,0.2548
0.1686,3.4474,0.1054,turn,0.0000,4.2400,0.0000,nan,nan
0.3069,3.0852,0.1186,combined,0.5191,6.0800,0.2678,-0.3064,0.0175
0.1794,3.3587,0.0529,turn,0.0000,6.0000,0.0000,nan,nan
0.5275,0.0441,0.1627,lateral,1.2657,4.3400,0.5254,-0.4338,0.3000
0.2090,4.0781,0.1179,lateral,0.6027,4.4800,0.1375,0.0841,0.1913
0.1992,6.5497,0.0845,combined,0.7369,5.3800,0.1992,-0.1964,0.0333
0.2602,9.6682,0.2143,straight,1.4277,4.4400,0.2602,-0.2548,0.0528
0.2015,8.6974,0.0693,combined,1.3881,5.4400,0.1987,-0.1975,0.0402
0.0565,4.7065,0.0405,stand,0.0000,4.0400,0.0000,nan,nan
0.3349,3.3361,0.0734,straight,0.4284,5.6000,0.3349,-0.3341,0.0228
0.5088,4.5853,0.1845,combined,1.4301,4.4400,0.5088,-0.4583,0.2209
0.6611,13.5336,0.1080,straight,1.6943,4.2800,0.6611,-0.5605,0.3507
0.2537,8.9910,0.0371,turn,0.0000,6.3000,0.0000,nan,nan
0.3449,2.8808,0.0717,lateral,1.2719,4.3200,0.3449,-0.3282,0.1060
0.2391,2.1853,0.0312,lateral,0.6794,5.5400,0.1759,0.1032,0.2157
0.1252,7.3660,0.0401,stand,0.0000,5.8800,0.0000,nan,nan
0.1442,5.7212,0.0497,combined,0.8359,5.2200,0.1350,-0.1352,0.0502
0.2821,2.2801,0.1366,straight,1.9109,5.8800,0.2821,-0.2346,0.1566
0.4162,0.4333,0.0813,combined,1.0907,4.9400,0.4162,-0.3645,0.2010
0.1324,4.2967,0.2197,combined,0.4413,4.3800,0.1324,-0.1108,0.0725
0.1168,1.6299,0.1645,combined,0.9445,5.0000,0.1168,-0.1051,0.0509
0.1203,0.7882,0.0878,turn,0.0000,5.6600,0.0000,nan,nan
0.3722,12.1882,0.3177,combined,1.7408,4.5000,0.3722,-0.2974,0.2239
0.2168,0.4815,0.0237,straight,0.4509,5.8000,0.2142,-0.1977,0.0891
0.3831,2.7682,0.1871,combined,0.5608,5.9800,0.3620,-0.2879,0.2528
0.0667,1.6008,0.0245,stand,0.0000,4.1200,0.0000,nan,nan
0.0922,0.0244,0.1169,combined,1.3940,5.9400,0.0922,-0.0863,0.0324
0.2145,3.4457,0.1859,combined,1.3470,6.3000,0.2145,-0.1915,0.0967
0.1052,0.9716,0.1031,lateral,0.9529,6.0400,0.0769,0.0653,0.0824
0.4084,0.4937,0.0330,combined,1.9379,6.4600,0.4061,-0.2732,0.3036
0.2520,1.2989,0.1372,straight,0.5498,6.2200,0.2302,-0.0390,0.2490
0.1179,1.0084,0.0287,combined,1.1351,5.6600,0.1173,-0.0853,0.0813
0.1366,0.3316,0.0289,turn,0.0000,4.9800,0.0000,nan,nan
0.2636,6.9042,0.1570,combined,1.9336,6.3200,0.2588,-0.2606,0.0394
0.2274,7.5918,0.1018,turn,0.0000,5.1600,0.0000,nan,nan
