t_s,L_Ankle_Roll_ser,L_Ankle_Roll_par,R_Ankle_Roll_ser,R_Ankle_Roll_par
2.41649,0.012208,0.0852598,-0.0046306,0.0791562
2.41848,0.012208,0.0852598,-0.0046306,0.0791562
2.42053,0.0117825,0.0848783,-0.0046306,0.0791562
2.42272,0.0117824,0.0848783,-0.0046306,0.0791562
2.42444,0.0122081,0.0852598,-0.0046306,0.0791562
2.42652,0.012208,0.0852598,-0.0046306,0.0791562
2.42846,0.0117825,0.0848783,-0.0046306,0.0791562
2.4305,0.0122081,0.0852598,-0.0046306,0.0791562
2.4325,0.012208,0.0852598,-0.0046306,0.0791562
2.43454,0.012208,0.0852598,-0.0046306,0.0791562
2.43648,0.012208,0.0852598,-0.0046306,0.0791562
2.43851,0.012208,0.0852598,-0.0046306,0.0791562
2.44056,0.012208,0.0852598,-0.0046306,0.0791562
2.44252,0.012208,0.0852598,-0.0046306,0.0791562
2.44448,0.012208,0.0852598,-0.0046306,0.0791562
2.4465,0.0117825,0.0848783,-0.0046306,0.0791562
